doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
returns-policy,data/k4_ecommerce/returns-policy.md,Chính sách trả hàng và hoàn tiền Shopee,https://help.shopee.vn/portal/4/article/77251,2026-08-03,2026-03-11,public-page
seller-listing,data/k4_ecommerce/seller-listing.md,Quyền và nghĩa vụ của Nhà Bán và Tiki,https://hocvien.tiki.vn/faq/quyen-va-nghia-vu-cua-nha-ban-va-tiki/,2026-08-03,not-stated,public-page
shipping-policy,data/k4_ecommerce/shipping-policy.md,Chính sách vận chuyển Shopee,https://help.shopee.vn/portal/4/article/77250-CH%C3%8DNH-S%C3%81CH-V%E1%BA%ACN-CHUY%E1%BB%82N-SHOPEE,2026-08-03,2026-03-20,public-page
privacy-policy-shopee,data/k4_ecommerce/privacy-policy-shopee.md,Chính sách bảo mật Shopee,https://help.shopee.vn/portal/4/article/77244-CH%C3%8DNH-S%C3%81CH-B%E1%BA%A2O-M%E1%BA%ACT,2026-08-03,2026-06-04,public-page
payment-methods,data/k4_ecommerce/payment-methods.md,Các phương thức thanh toán trên Shopee,https://help.shopee.vn/portal/4/article/79198-%5BTh%C3%A0nh-vi%C3%AAn-m%E1%BB%9Bi%5D-Shopee-hi%E1%BB%87n-%C4%91ang-c%C3%B3-nh%E1%BB%AFng-ph%C6%B0%C6%A1ng-th%E1%BB%A9c-thanh-to%C3%A1n-n%C3%A0o,2026-08-03,not-stated,public-page
marketplace-rules,data/k4_ecommerce/marketplace-rules.md,Quy chế hoạt động sàn thương mại điện tử Shopee.vn,https://help.shopee.vn/portal/4/article/77245,2026-08-03,2025-01-03,public-page
privacy-policy-tiki,data/k4_ecommerce/privacy-policy-tiki.md,Chính sách bảo mật thông tin cá nhân Tiki,https://tiki.vn/thong-tin/privacy-policy,2026-08-03,2022-11-11,public-page
prohibited-products,data/k4_ecommerce/prohibited-products.md,Chính sách cấm/hạn chế sản phẩm Shopee,https://help.shopee.vn/portal/4/article/77247-CH%C3%8DNH-S%C3%81CH-C%E1%BA%A4M/H%E1%BA%A0N-CH%E1%BA%BE-S%E1%BA%A2N-PH%E1%BA%A8M,2026-08-03,2025-04-28,public-page
